cluster,Latitude,Longitude,size
0,51.054338333333334,4.627443333333333,6
1,51.305460000000004,4.409566666666667,9
2,50.873188400000004,3.8142946,5
3,50.437751666666664,4.484071666666666,6
4,50.650768,5.658101333333334,15
5,50.7492881,3.6067617,10
6,51.281195,4.454925,6
7,50.590010769230766,5.510432307692308,13
8,51.24820428571429,4.5816671428571425,7
9,50.63136,5.7357483333333334,6
10,50.70769111111111,5.646378888888889,9
11,51.10825714285714,4.334427142857143,7
12,50.613258333333334,5.4466600000000005,6
13,51.2484575,4.6297575,4
14,51.1289245,4.212047375,8
15,50.438266666666664,4.40941,6
16,51.132310000000004,5.071597142857143,7
17,50.84274983333333,4.4752785,6
18,51.05913783333333,3.2740916666666666,6
19,51.05714571428571,3.763639142857143,7
20,50.9556235,4.065696333333333,6
21,51.100450333333335,2.591889166666667,6
22,50.90885616666666,3.994648,6
23,51.219895,4.260211666666667,6
24,50.46122333333333,4.362053333333333,6
25,51.20758833333334,4.75364,6
26,50.86605914285714,4.260511714285714,7
27,50.8089218,3.748037,5
28,51.208260833333334,4.0338535,6
29,50.90320833333334,3.6511066666666667,6
30,51.129986625,3.672723,8
31,51.20149766666666,3.7977355,6
